Gender,YearOfBirth,YearStartedYT,GoldenAgeYT
Nonbinary,2001 - 2005,2011 - 2015,2011 - 2015
Nonbinary,2001 - 2005,2011 - 2015,2011 - 2015
Woman,2001 - 2005,2011 - 2015,2011 - 2015
Woman,2006 - 2010,2021 - 2025,2016 - 2020
Woman,1986 - 1990,2005 - 2010,2005 - 2010
Man,1991 - 1995,2005 - 2010,2011 - 2015
Woman,1991 - 1995,2011 - 2015,2016 - 2020
Man,1980 - 1985,2005 - 2010,2005 - 2010
Woman,1996 - 2000,2005 - 2010,2011 - 2015
Man,2001 - 2005,2005 - 2010,2021 to now
Woman,2001 - 2005,2011 - 2015,2011 - 2015
Woman,1996 - 2000,2016 - 2020,2011 - 2015
Man,2001 - 2005,2016 - 2020,2011 - 2015
Woman,1996 - 2000,2005 - 2010,2021 to now
Woman,1996 - 2000,2005 - 2010,2005 - 2010
Woman,1996 - 2000,2011 - 2015,2011 - 2015
Man,2001 - 2005,2016 - 2020,2016 - 2020
Man,1996 - 2000,2011 - 2015,2016 - 2020
Woman,2001 - 2005,2011 - 2015,2016 - 2020
Man,1980 - 1985,2005 - 2010,2005 - 2010
Woman,2001 - 2005,2011 - 2015,2011 - 2015
Woman,1996 - 2000,2021 - 2025,2005 - 2010
Man,1980 - 1985,2005 - 2010,2011 - 2015
Woman,2006 - 2010,2011 - 2015,2011 - 2015
Man,1996 - 2000,2016 - 2020,2016 - 2020
Woman,2001 - 2005,2011 - 2015,2011 - 2015
Woman,1991 - 1995,2005 - 2010,2021 to now
Man,2006 - 2010,2016 - 2020,2016 - 2020
Woman,2001 - 2005,2011 - 2015,2011 - 2015
Woman,1996 - 2000,2016 - 2020,2011 - 2015
Woman,1996 - 2000,2011 - 2015,2021 to now
Woman,2001 - 2005,2021 - 2025,2021 to now
Man,2001 - 2005,2016 - 2020,2021 to now
Woman,2001 - 2005,2016 - 2020,2016 - 2020
Woman,2001 - 2005,2011 - 2015,2011 - 2015
Woman,1980 - 1985,2011 - 2015,2011 - 2015
Woman,1996 - 2000,2011 - 2015,2011 - 2015
Man,2006 - 2010,2016 - 2020,2011 - 2015
Woman,2001 - 2005,2011 - 2015,2016 - 2020
Woman,2001 - 2005,2011 - 2015,2016 - 2020
Woman,1980 - 1985,2005 - 2010,2011 - 2015
Woman,1996 - 2000,2011 - 2015,2016 - 2020
Woman,2001 - 2005,2011 - 2015,2011 - 2015
Woman,2001 - 2005,2011 - 2015,2011 - 2015
Woman,2001 - 2005,2021 - 2025,2016 - 2020
Man,2006 - 2010,2011 - 2015,2016 - 2020
Woman,2001 - 2005,2016 - 2020,2011 - 2015
Woman,1996 - 2000,2011 - 2015,2011 - 2015
Woman,1996 - 2000,2016 - 2020,2011 - 2015
Woman,2001 - 2005,2021 - 2025,2021 to now
Woman,Before 1980,2016 - 2020,2021 to now
Woman,2001 - 2005,2016 - 2020,2016 - 2020
